   125/299    0.856G   0.02503   0.01785         0   0.04288         7       640    0.9078     0.915     0.951    0.5452   0.02403   0.01151         0
   126/299    0.856G   0.02459   0.01742         0   0.04201         1       640    0.9233    0.9324    0.9569    0.5501   0.02324   0.01118         0
   127/299    0.856G   0.02497   0.01808         0   0.04306         2       640    0.9264    0.9124    0.9546    0.5509   0.02328   0.01117         0
   128/299    0.856G     0.025   0.01723         0   0.04223         4       640    0.9326    0.9075    0.9441    0.5372   0.02401    0.0116         0
   129/299    0.856G   0.02561   0.01808         0   0.04369        12       640    0.9084     0.905     0.945    0.5442   0.02414   0.01127         0
   130/299    0.856G   0.02507   0.01796         0   0.04304         4       640    0.9134    0.9223    0.9577    0.5518   0.02387   0.01092         0
   131/299    0.856G   0.02507   0.01808         0   0.04315         3       640     0.916     0.927    0.9575    0.5329   0.02393    0.0111         0
   132/299    0.856G    0.0247   0.01792         0   0.04262        11       640    0.9165    0.9325     0.952    0.5364   0.02329   0.01127         0
   133/299    0.856G   0.02482    0.0179         0   0.04272         4       640    0.9217    0.9125    0.9547    0.5456   0.02362   0.01124         0
   134/299    0.856G   0.02452    0.0183         0   0.04282         5       640    0.9106      0.92    0.9456    0.5527    0.0235   0.01151         0
   135/299    0.856G   0.02444   0.01781         0   0.04225         7       640    0.8971    0.9374    0.9573    0.5431   0.02334   0.01105         0
   136/299    0.856G   0.02535   0.01743         0   0.04277         3       640    0.9046    0.9245    0.9546    0.5491   0.02326   0.01113         0
   137/299    0.856G   0.02489   0.01779         0   0.04269         4       640      0.91    0.9099    0.9468    0.5442   0.02323   0.01113         0
   138/299    0.856G   0.02443   0.01756         0   0.04199         3       640     0.909     0.925    0.9509    0.5445   0.02321   0.01132         0
   139/299    0.856G   0.02446   0.01722         0   0.04168         5       640    0.8965     0.935    0.9548    0.5481   0.02368   0.01114         0
   140/299    0.856G   0.02394   0.01771         0   0.04165         1       640    0.9284    0.9125     0.955    0.5559   0.02337   0.01097         0
   141/299    0.856G   0.02481   0.01813         0   0.04294         2       640    0.9178    0.9225    0.9565     0.553   0.02324   0.01118         0
   142/299    0.856G   0.02428   0.01793         0   0.04221         2       640     0.905      0.93    0.9447    0.5397    0.0235   0.01152         0
   143/299    0.856G   0.02436    0.0179         0   0.04226         8       640    0.9305     0.915    0.9474    0.5478   0.02315   0.01154         0
   144/299    0.856G   0.02416   0.01723         0   0.04139         5       640    0.9264    0.9123    0.9574     0.552   0.02336   0.01131         0
   145/299    0.856G   0.02466   0.01756         0   0.04221         2       640    0.9202    0.9224    0.9622    0.5472   0.02368   0.01111         0
   146/299    0.856G   0.02375   0.01753         0   0.04128         7       640    0.9196    0.9147    0.9542    0.5404   0.02335    0.0114         0
   147/299    0.856G   0.02442   0.01734         0   0.04175         1       640    0.9067     0.925    0.9522    0.5514   0.02315   0.01161         0
   148/299    0.856G   0.02377   0.01705         0   0.04082         3       640    0.8983    0.9275     0.954    0.5541    0.0232   0.01137         0
   149/299    0.856G   0.02361   0.01747         0   0.04108         4       640     0.899     0.935    0.9512    0.5439   0.02394   0.01104         0
   150/299    0.856G   0.02446   0.01759         0   0.04205         9       640    0.9154    0.9199    0.9543    0.5532   0.02315   0.01107         0
   151/299    0.856G   0.02453   0.01753         0   0.04206         2       640    0.9139      0.93    0.9521    0.5562   0.02312   0.01137         0
   152/299    0.856G   0.02403   0.01771         0   0.04174         1       640    0.9196    0.9149    0.9557    0.5544   0.02332   0.01122         0
   153/299    0.856G   0.02406   0.01766         0   0.04172         7       640    0.8879    0.9525    0.9589    0.5637   0.02322   0.01104         0
   154/299    0.856G   0.02357    0.0169         0   0.04046         0       640    0.9183    0.9275    0.9485    0.5621   0.02331   0.01139         0
   155/299    0.856G   0.02356   0.01699         0   0.04055         1       640    0.9205    0.9275    0.9604    0.5592   0.02316   0.01104         0
   156/299    0.858G   0.02386   0.01759         0   0.04145         2       640    0.9278       0.9    0.9477    0.5546   0.02325    0.0113         0
   157/299    0.858G   0.02415   0.01777         0   0.04192         4       640    0.9365    0.8875    0.9406     0.549    0.0233   0.01153         0
   158/299    0.858G   0.02476   0.01798         0   0.04274         2       640    0.9052    0.9075    0.9559    0.5513   0.02352   0.01144         0
   159/299    0.858G   0.02404   0.01776         0   0.04179         4       640    0.9044    0.9222    0.9566    0.5579   0.02298    0.0111         0
   160/299    0.858G   0.02386   0.01632         0   0.04018         4       640    0.9223    0.9199    0.9513    0.5479    0.0232   0.01121         0
   161/299    0.858G    0.0236   0.01708         0   0.04067         4       640    0.9295    0.9224    0.9579    0.5544   0.02318   0.01106         0
   162/299    0.858G   0.02339   0.01762         0   0.04101         1       640    0.9209     0.935     0.957    0.5712    0.0228   0.01103         0
   163/299    0.858G   0.02378   0.01732         0    0.0411         2       640    0.9247    0.9225    0.9572    0.5469   0.02344   0.01138         0
   164/299    0.858G    0.0237   0.01774         0   0.04144         1       640    0.9072      0.93    0.9516    0.5457   0.02368   0.01123         0
   165/299    0.858G   0.02359   0.01707         0   0.04066         3       640    0.8966    0.9325    0.9571    0.5627   0.02328   0.01101         0
   166/299    0.858G   0.02373    0.0175         0   0.04122         3       640    0.9166     0.935      0.96    0.5598   0.02301   0.01095         0
   167/299    0.858G   0.02405   0.01738         0   0.04143         1       640    0.9022     0.925    0.9551      0.56    0.0228    0.0111         0
   168/299    0.858G   0.02325   0.01733         0   0.04058         3       640    0.8957     0.945    0.9572    0.5604   0.02257   0.01118         0
   169/299    0.858G   0.02366   0.01702         0   0.04068         0       640    0.9231    0.9299     0.954    0.5557   0.02269   0.01121         0
   170/299    0.858G   0.02326   0.01753         0   0.04078         5       640    0.9221    0.9173    0.9602     0.561   0.02295   0.01114         0
   171/299    0.858G   0.02402   0.01744         0   0.04146         2       640    0.9321    0.8925    0.9589     0.568   0.02283   0.01131         0
   172/299    0.858G   0.02331   0.01738         0   0.04069         6       640    0.9232     0.905    0.9547    0.5656   0.02269   0.01164         0
   173/299    0.858G   0.02373    0.0175         0   0.04123         3       640    0.9276    0.8975    0.9518    0.5637   0.02311   0.01142         0
   174/299    0.858G   0.02387   0.01725         0   0.04112         4       640    0.9053    0.9325    0.9493    0.5595    0.0232   0.01148         0
   175/299    0.858G    0.0238   0.01669         0   0.04049         2       640    0.9243    0.9175    0.9482    0.5667   0.02302   0.01138         0
   176/299    0.858G    0.0239   0.01754         0   0.04144         4       640    0.9346       0.9    0.9456    0.5535   0.02315    0.0116         0
   177/299    0.858G   0.02305   0.01655         0    0.0396         3       640    0.9328    0.9023    0.9476    0.5562   0.02297    0.0115         0
   178/299    0.858G   0.02297    0.0168         0   0.03977         3       640    0.9196     0.915    0.9508    0.5628   0.02281    0.0114         0
